id	nr_urz	miasto	woj	powiat	gmina	rodzaj_urzedu	urzad	kod	adres	nazwa_bel_1	nazwa_bel_2	odes³anie_do_starostwa	skrot	nazwa_1	nazwa_2	nazwa_ca³a	konto_oplat_geodezyjnych	jaka nazwa
604	1607	Goworowo	mazowieckie	ostro³êcki	Goworowo	10	Urz¹d Gminy	07-440	ul. Ostro³êcka 21	Urz¹d Gminy	w Goworowie	1606	UMGoworowie	Urz¹d Gminy w Goworowie		Urz¹d Gminy w Goworowie		
1576	1608	Olszewo-Borki	mazowieckie	ostro³êcki	Olszewo-Borki	10	Urz¹d Gminy	07-415	ul. Broniewskiego 13	Urz¹d Gminy	Olszewo-Borki	1606	UMOlszewo-Borki	Urz¹d Gminy Olszewo-Borki		Urz¹d Gminy Olszewo-Borki		
2019	1609	Rzekuñ	mazowieckie	ostro³êcki	Rzekuñ	10	Urz¹d Gminy	07-411	ul. Szkolna 1	Urz¹d Gminy	w Rzekuniu	1606	UMRzekuniu	Urz¹d Gminy w Rzekuniu		Urz¹d Gminy w Rzekuniu		
1292	1610	£yse	mazowieckie	ostro³êcki	£yse	10	Urz¹d Gminy	07-437	ul. Ostro³êcka 2	Urz¹d Gminy	£yse	1606	UM£yse	Urz¹d Gminy £yse		Urz¹d Gminy £yse		
2442	1611	Troszyn	mazowieckie	ostro³êcki	Troszyn	10	Urz¹d Gminy	07-405	ul. S³owackiego 13	Urz¹d Gminy	Troszyn	1606	UMTroszyn	Urz¹d Gminy Troszyn		Urz¹d Gminy Troszyn		
799	1612	Kadzid³o	mazowieckie	ostro³êcki	Kadzid³o	10	Urz¹d Gminy	07-420	ul. Targowa 4	Urz¹d Gminy	Kadzid³o	1606	UMKadzid³o	Urz¹d Gminy Kadzid³o		Urz¹d Gminy Kadzid³o		
328	1613	Czarnia	mazowieckie	ostro³êcki	Czarnia	10	Urz¹d Gminy	07-431	Czarnia 41	Urz¹d Gminy	Czarnia	1606	UMCzarnia	Urz¹d Gminy Czarnia		Urz¹d Gminy Czarnia		
1106	1614	Lelis	mazowieckie	ostro³êcki	Lelis	10	Urz¹d Gminy	07-402	ul. Szkolna 37	Urz¹d Gminy	Lelis	1606	UMLelis	Urz¹d Gminy Lelis		Urz¹d Gminy Lelis		
27	1615	Ba³tów	œwiêtokrzyskie	ostrowiecki	Ba³tów	10	Urz¹d Gminy	27-423	Ba³tów 32	Urz¹d Gminy	w Ba³towie	1618	UMBa³towie	Urz¹d Gminy w Ba³towie		Urz¹d Gminy w Ba³towie		
2536	1616	Waœniów	œwiêtokrzyskie	ostrowiecki	Waœniów	10	Urz¹d Gminy	27-425	ul. Rynek 24	Urz¹d Gminy	Waœniów	1618	UMWaœniów	Urz¹d Gminy Waœniów		Urz¹d Gminy Waœniów		
1633	1617	Ostrowiec Œwiêtokrzyski	œwiêtokrzyskie	ostrowiecki	Ostrowiec Œwiêtokrzyski	8	Urz¹d Miasta	27-400	ul. G³ogowskiego 3/5	Urz¹d Miasta	Ostrowiec Œwiêtokrzyski	1618	UMOstrowiec Œwiêtokrzyski	Urz¹d Miasta Ostrowiec Œwiêtokrzyski		Urz¹d Miasta Ostrowiec Œwiêtokrzyski		
1632	1618	Ostrowiec Œwiêtokrzyski	œwiêtokrzyskie	ostrowiecki	Ostrowiec Œwiêtokrzyski	4	Starostwo Powiatowe	27-400	ul. Wardyñskiego 1			0	SPOstrowcu Œwiêtokrzyskim	Starostwo Powiatowe w Ostrowcu	Œwiêtokrzyskim	Starostwo Powiatowe w Ostrowcu Œwiêtokrzyskim	a08850700042001004750420002	
371	1619	Æmielów	œwiêtokrzyskie	ostrowiecki	Æmielów	9	Urz¹d Miasta i Gminy	27-440	ul. Ostrowiecka 40	Urz¹d Miasta i Gminy	w Æmielowie	1618	UMÆmielowie	Urz¹d Miasta i Gminy w Æmielowie		Urz¹d Miasta i Gminy w Æmielowie		
134	1620	Ostrowiec Œwiêtokrzyski	œwiêtokrzyskie	ostrowiecki	Bodzechów	10	Urz¹d Gminy	27-400	ul. Miko³aja Reja 10	Urz¹d Gminy	Bodzechów	1618	UMBodzechów	Urz¹d Gminy Bodzechów		Urz¹d Gminy Bodzechów		
